newspaper,day,month,year,page,article,article title,ocr title,match (title/article text/manual)
Glasgow Herald,9,12,1844,0004,032,Temperance Conversational Meeting,TEMPERANCE CONVERSATIONAL MEETING.,title
Freeman's Journal and Daily Commercial Advertiser,27,12,1844,,,Temperance Meeting at Beresfordplace,,
The York Herald and General Advertiser,6,09,1845,,,Temperance Meeting in York,,
The Leeds Mercury,9,01,1847,,,The Temperance Movement at Leeds,,
"The Bradford & Wakefield Observer, and Halifax, Huddersfield and Keighley Reporter",28,10,1847,,,Temperance Meeting,,
The Blackburn Standard,10,11,1847,,,Demoralizing Effects of Intemperance,,
"The Bradford Observer, and Halifax, Huddersfield and Keighley Reporter",23,03,1848,,,The People's Charter - Town's Meeting,,
Freeman's Journal and Daily Commercial Advertiser,11,07,1849,,,North-Wall Temperance Meeting,,
The Morning Chronicle,2,10,1849,0003,009,Great Temperance Meeting,GREAT TEMPERANCE MEETING.,title
Daily News,30,10,1849,0005,022,Second Great Temperance Meeting at Exeter Hall,SECOND GREAT TEMPERANCE MEETING AT EXETER HALL.,title
Daily News,4,12,1849,0003,008,Temperance Meeting,TEMPERANCE MEETING.,title
The Standard,4,12,1849,,,Temperance Meeting,,
Glasgow Herald,12,07,1850,0004,029,The Temperance Movement,THE TEMPERANCE MOVEMENT.,title
The Bristol Mercury,3,08,1850,0006,019,Temperance Meeting,TEMPERANCE MEETING.,title
The Huddersfield Daily Chronicle and West Yorkshire Advertiser,28,09,1850,,,Lockwood Temperance Festival,,
The Morning Chronicle,15,10,1850,0003,007,Temperance Festival,TEMPERANCE FESTIVAL.,title
Daily News,3,12,1850,0003,005,Temperance Demonstration,TEMPERANCE DEMONSTRATION.,title
Daily News,7,01,1851,0003,007,Temperance Demonstration,TEMPERANCE DEMONSTRATION.,title
Daily News,23,05,1851,0006,011,National Temperance Society,NATIONAL TEMPERANCE SOCIETY.,title
The Huddersfield Chronicle and West Yorkshire Advertiser,18,10,1851,,,Annual Festival of the Huddersfield Temperance Society,,
The York Herald and General Advertiser,10,01,1852,,,Christmas Temperance Festival,,
Daily News,16,12,1852,0003,007,Temperance League Meeting at Exeter Hall,TEMPERANCE LEAGUE MEETING AT EXETER HALL.,title
The Sheffield and Rotherham Indepedent,1,01,1853,,,Temperance Meeting,,
The Huddersfield Chronicle and West Yorkshire Advertiser,29,10,1853,,,Huddersfield Annual Temperance Festival,,
The Bradford Observer,16,07,1855,,,British Temperance League,,
The Belfast News-Letter,15,11,1856,0004,022,The Temperance Movement,THE TEMPERANCE MOVEMENT.,title
The Belfast News-Letter,10,12,1856,0002,011,Temperance Meeting in Holywood,TEMPERANCE MEETING IN HOLYWOOD.,title
Cheshire Observer and General Advertiser,27,12,1856,,,Temperance Meeting,,
Cheshire Observer and General Advertiser,17,01,1857,,,Temperance Meeting,,
Hampshire Advertiser and Salisbury Guardian,3,07,1858,,,Lord Shaftesbury on the Temperance Movement,,
The Morning Chronicle,17,02,1859,0003,010,Great Temperance Meeting,GREAT TEMPERANCE MEETING.,title
Reynold's Newspaper,20,02,1859,0009,028,Great Temperance Meeting,GREAT TEMPERANCE MEETING.,title
The Belfast News-Letter,28,02,1859,0003,011,Temperance in America,TEMPERANCE IN AMERICA.,title
The Leeds Mercury,27,12,1859,0003,013,Leeds Temperance Union,LEEDS TEMPERANCE UNION.,title
Daily News,28,12,1859,0003,008,Temperance Demonstration at Leeds,TEMPERANCE DEMONSTRATION AT LEEDS.,title
The Bristol Mercury,31,12,1859,,,Total Abstinence Society,,
The Huddersfield Chronicle and West Yorkshire Advertiser,21,01,1860,,,Temperance Meeting,,
Reynold's Newspaper,21,10,1860,0009,030,Great Temperance Meeting,GREAT TEMPERANCE MEETING.,title
The Morning Post,14,11,1860,,,A Novel Temperance Meeting,,
Birmingham Daily Post,24,04,1861,0002,004,Birmingham and Wolverhampton Temperance Association,BIRMINGHAM AND WOLVERHAMPTON TEMPERANCE ASSOCIATION.,title
The Derby Mercury,8,05,1861,0006,027,Temperance and Sanitary Reform,TEMPERANCE AND SANITARY REFORM.,title
The Belfast News-Letter,23,08,1861,0004,014,Great Temperance Meeting in Dublin,GREAT TEMPERANCE MEETING IN DUBLIN.,title
The Belfast News-Letter,22,04,1862,0004,014,Irish Temperance League - Annual Meeting,IRISH TEMPERANCE LEAGUE—ANNUAL MEETING.,title
The Sheffield and Rotherham Indepedent,17,07,1862,,,Conference of the British Temperance League,,
The Belfast News-Letter,27,09,1862,0003,009,The Belfast Temperance Society,THE BELFAST TEMPERANCE SOCIETY.,title
Birmingham Daily Post,29,10,1863,0005,012,National Temperance League,NATIONAL TEMPERANCE LEAGUE.,title
The Bradford Observer,3,12,1863,,,Bradford United Temperance Society,,
The Bradford Observer,20,10,1864,,,Bradford United Temperance Society,,
The Morning Post,15,11,1864,,,National Temperance League,,
Manchester Times,30,10,1875,0007,030,Church Temperance Society,CHURCH TEMPERANCE SOCIETY.,title
The Bradford Observer,6,11,1875,,,Bishop Temple on Temperance,,
The York Herald  ,11,11,1875,,,Temperance Meeting in Salem Chapel,,
Nottinghamshire Guardian,14,04,1876,,,Temperance Meeting in Nottingham,,
The Leeds Mercury,5,07,1876,0005,016,British Temperance League,BRITISH TEMPERANCE LEAGUE.,title
The Sheffield and Rotherham Indepedent,3,08,1876,,,Temperance Meeting,,
The Dundee Courier & Argus and Northern Warder,30,01,1877,,,Temperance Meeting in Dundee,,
Aberdeen Weekly Journal,7,02,1877,,,Temperance Meeting,,
Daily News,27,12,1877,0003,014,The Peace Society,THE PEACE SOCIETY.,title
The Hampshire Advertiser,22,01,1887,,,Temperance Meeting,,
"The Essex Standard, West Suffolk Gazette and Eastern Counties' Advertiser",2,04,1887,,,Church of England Temperance Meeting,,
Liverpool Mercury,7,05,1887,0005,014,An Interesting Jubilee Temperance Meeting,AN INTERESTING JUBILEE TEMPERANCE MEETING.,title
The Sheffield and Rotherham Indepedent,6,07,1887,,,British Temperance League,,
Leicester Chronicle ,12,11,1887,,,Conference on Temperance Work,,
The Leeds Mercury,30,12,1887,0003,012,Gospel Temperance Meeting in Leeds,GOSPEL TEMPERANCE MEETING IN LEEDS.,title
champion,18,09,1836,0012,031,unknown,unknown,manual
examiner,12,08,1843,0006,003,unknown,unknown,manual
champion,18,09,1836,0004,008,unknown,unknown,manual
brightonpatriot,03,04,1838,0002,008,unknown,unknown,manual
northernstarandleedsgeneraladvertiser,31,01,1852,0003,008,unknown,unknown,manual
chartistcircular,28,03,1840,0001,002,unknown,unknown,manual
northernstarandleedsgeneraladvertiser,31,01,1852,0011,043,unknown,unknown,manual
leedsmercury,06_S,08,1887,0001,004,unknown,unknown,manual
pallmallgazette,16,12,1872,0010,013,unknown,unknown,manual
reynoldsnewspaper,06,01,1889,0002,019,unknown,unknown,manual
charter,13,10,1839,0006,017,unknown,unknown,manual
charter,13,10,1839,0006,017,unknown,unknown,manual
derbymercury,12,09,1894,0008,041,unknown,unknown,manual
champion,18,09,1836,0020,053,unknown,unknown,manual
prestonchronicle,04,10,1862,0002,002,unknown,unknown,manual
bristolmercury,13,11,1852,0005,012,unknown,unknown,manual
newcastlecourant,06,06,1862,0006,027,unknown,unknown,manual
operative,09,12,1838,0005,010,unknown,unknown,manual
operative,09,12,1838,0005,010,unknown,unknown,manual
operative,09,12,1838,0005,010,unknown,unknown,manual
northwaleschronicle,09,10,1875,0005,022,unknown,unknown,manual
northernstarandleedsgeneraladvertiser,22,08,1846,0005,024,unknown,unknown,manual
dailynews,10,03,1859,0005,018,unknown,unknown,manual
northernstarandleedsgeneraladvertiser,27,08,1842,0019,071,unknown,unknown,manual
chartistcircular,16_V,08,1839,0001,001,unknown,unknown,manual
northernstarandleedsgeneraladvertiser,14,02,1846,0019,070,unknown,unknown,manual
northernstarandleedsgeneraladvertiser,14,02,1846,0029,108,unknown,unknown,manual
northernstarandleedsgeneraladvertiser,28,09,1850,0003,009,unknown,unknown,manual
newcastlecourant,12,12,1845,0008,023,unknown,unknown,manual
chartistcircular,07,08,1841,0004,006,unknown,unknown,manual
chartistcircular,14,12,1839,0002,002,unknown,unknown,manual
chartistcircular,06,03,1841,0003,005,unknown,unknown,manual
chartistcircular,06,03,1841,0003,005,unknown,unknown,manual
chartistcircular,06,03,1841,0003,005,unknown,unknown,manual
chartistcircular,07,08,1841,0002,002,unknown,unknown,manual
champion,18,09,1836,0003,005,unknown,unknown,manual
reynoldsnewspaper,26,04,1857,0009,035,unknown,unknown,manual
reynoldsnewspaper,12,10,1862,0003,013,unknown,unknown,manual
newcastlecourant,25,02,1876,0005,005,unknown,unknown,manual
thecaledonianmercury,22,01,1824,0002,004,unknown,unknown,manual
examiner,20,09,1873,0013,005,unknown,unknown,manual
poormansguardian,11,04,1835,0001,001,unknown,unknown,manual
londondispatch,25,12,1836,0003,003,unknown,unknown,manual
lloydsillustratednewspaper,27,10,1861,0008,040,unknown,unknown,manual
northernstarandleedsgeneraladvertiser,31,01,1852,0009,037,unknown,unknown,manual
chartistcircular,04,07,1840,0004,007,unknown,unknown,manual
hampshire/portsmouthtelegraph,11,10,1862,0004,010,unknown,unknown,manual
londondispatch,15,01,1837,0001,001,unknown,unknown,manual
prestonchronicle,20,12,1862,0002,002,unknown,unknown,manual
examiner,02,02,1850,0001,001,unknown,unknown,manual
illustratedpolicenews,05,02,1881,0003,018,unknown,unknown,manual
manchestertimes,18,12,1841,0003,008,unknown,unknown,manual
morningchronicle,14,08,1861,0005,020,unknown,unknown,manual
glasgowherald,21,09,1855,0003,004,unknown,unknown,manual
prestonchronicle,28,05,1842,0002,010,unknown,unknown,manual
londondispatch,27,11,1836,0028,096,unknown,unknown,manual
londondispatch,27,11,1836,0020,069,unknown,unknown,manual
londondispatch,27,11,1836,0012,041,unknown,unknown,manual
londondispatch,27,11,1836,0004,011,unknown,unknown,manual
derbymercury,03,07,1844,0001,003,unknown,unknown,manual
glasgowherald,06,02,1856,0003,015,unknown,unknown,manual
northernstarandleedsgeneraladvertiser,27,09,1851,0002,006,unknown,unknown,manual
northernstarandleedsgeneraladvertiser,28,09,1850,0002,006,unknown,unknown,manual
northwaleschronicle,03,11,1855,0005,020,unknown,unknown,manual
derbymercury,13,10,1875,0005,011,unknown,unknown,manual
prestonchronicle,04,08,1849,0006,026,unknown,unknown,manual
reynoldsnewspaper,26,04,1857,0006,023,unknown,unknown,manual
northwaleschronicle,09,02,1856,0005,025,unknown,unknown,manual
northernstarandleedsgeneraladvertiser,27,08,1842,0002,003,unknown,unknown,manual
belfastnewsletter,28,10,1881,0008,030,unknown,unknown,manual
lloydsillustratednewspaper,06,06,1852,0001,002,unknown,unknown,manual
dailynews,03,08,1846,0001,003,unknown,unknown,manual
bristolmercury,13,11,1852,0004,009,unknown,unknown,manual
morningchronicle,23,03,1858,0002,002,unknown,unknown,manual
northernstarandleedsgeneraladvertiser,07,08,1847,0019,040,unknown,unknown,manual
chartistcircular,07,03,1840,0001,001,unknown,unknown,manual
chartistcircular,06,03,1841,0003,004,unknown,unknown,manual
chartistcircular,06,03,1841,0003,004,unknown,unknown,manual
chartistcircular,06,03,1841,0003,004,unknown,unknown,manual
chartistcircular,06,03,1841,0004,008,unknown,unknown,manual
chartistcircular,06,03,1841,0004,008,unknown,unknown,manual
chartistcircular,06,03,1841,0004,008,unknown,unknown,manual
chartistcircular,05,12,1840,0004,008,unknown,unknown,manual
chartistcircular,05,12,1840,0004,008,unknown,unknown,manual

